shape_file_name_3,gdp_german_counties_county_name
Aachen,"Aachen, Kreis"
Aachen Städte,"Aachen, krfr. Stadt"
Ahrweiler,"Ahrweiler, Landkreis"
Aichach-Friedberg,"Aichach-Friedberg, Landkreis"
Alb-Donau,"Alb-Donau-Kreis, Landkreis"
Altenburger Land,"Altenburger Land, Kreis"
Altenkirchen,"Altenkirchen (Westerwald), Landkreis"
Altmarkkreis Salzwedel,Altmarkkreis Salzwedel
Altötting,"Altötting, Landkreis"
Alzey-Worms,"Alzey-Worms, Landkreis"
Amberg Städte,Amberg
Amberg-Sulzbach,"Amberg-Sulzbach, Landkreis"
Ammerland,"Ammerland, Landkreis"
Anhalt-Zerbst,"Anhalt-Zerbst, Kreis"
Annaberg,"Annaberg, Landkreis"
Ansbach,Ansbach
Ansbach Städte,"Ansbach, Landkreis"
Aschaffenburg,Aschaffenburg
Aschaffenburg Städte,"Aschaffenburg, Landkreis"
Aschersleben-Staßfurt,"Aschersleben-Staßfurt, Kreis"
Aue-Schwarzenberg,"Aue-Schwarzenberg, Landkreis"
Augsburg,Augsburg
Augsburg Städte,"Augsburg, Landkreis"
Aurich,"Aurich, Landkreis"
Bad Doberan,"Bad Doberan, Landkreis"
Bad Dürkheim,"Bad Dürkheim, Landkreis"
Bad Kissingen,"Bad Kissingen, Landkreis"
Bad Kreuznach,"Bad Kreuznach, Landkreis"
Bad Tölz-Wolfratshausen,"Bad Tölz-Wolfratshausen, Landkreis"
Baden-Baden Städte,"Baden-Baden, Stadtkreis"
Bamberg,Bamberg
Bamberg Städte,"Bamberg, Landkreis"
Barnim,"Barnim, Landkreis"
Bautzen,"Bautzen, Landkreis"
Bayreuth,Bayreuth
Bayreuth Städte,"Bayreuth, Landkreis"
Berchtesgadener Land,"Berchtesgadener Land, Landkreis"
Bergstraße,"Bergstraße, Landkreis"
Berlin,
Bernburg,"Bernburg, Kreis"
Bernkastel-Wittlich,"Bernkastel-Wittlich, Landkreis"
Biberach,"Biberach, Landkreis"
Bielefeld Städte,"Bielefeld, kreisfreie Stadt"
Birkenfeld,"Birkenfeld, Landkreis"
Bitburg-Prüm,
Bitterfeld,"Bitterfeld, Kreis"
Böblingen,"Böblingen, Landkreis"
"Bochum, kreisfreie Stadt",
Bodensee,"Bodenseekreis, Landkreis"
Bonn Städte,"Bonn, kreisfreie Stadt"
Bördekreis,"Börde, Landkreis"
